Id,CreationDate,PostId,RelatedPostId,LinkTypeId
10,2010-11-12T00:00:01.333,1,9,1
63,2010-11-17T12:54:10.313,1,16,1
138,2010-11-26T13:32:20.847,44,35,1
168,2010-11-30T06:22:14.073,47,2,1
210,2010-12-01T11:10:25.640,47,13,1
300,2010-12-07T16:54:21.860,72,2,1
923,2011-01-04T01:29:56.013,13,66,1
1194,2011-01-06T00:47:07.317,37,31,1
1195,2011-01-06T00:54:51.300,117,14,1
1537,2011-01-10T13:27:41.757,136,16,1
1588,2011-01-10T22:01:33.730,137,28,1
1614,2011-01-10T22:12:56.643,28,137,1
1722,2011-01-12T01:39:38.730,142,141,1
1798,2011-01-12T15:01:48.867,57,16,1
1874,2011-01-16T03:13:04.303,147,149,1
2176,2011-01-17T20:49:21.907,157,9,1
2177,2011-01-17T20:49:21.907,157,28,1
2203,2011-01-19T16:16:49.440,162,89,1
2368,2011-01-23T20:53:36.760,168,57,1
2394,2011-01-23T21:09:59.813,142,168,1
2595,2011-01-25T13:00:48.333,170,37,1
2721,2011-01-28T10:57:09.793,175,180,1
2722,2011-01-28T10:58:26.220,180,175,1
3523,2011-02-25T23:54:31.703,201,199,1
5349,2011-03-25T16:21:32.060,225,149,1
7700,2011-04-24T22:30:14.953,253,229,1
8226,2011-05-05T16:24:33.227,252,142,1
8227,2011-05-05T16:24:33.227,252,168,1
12254,2011-06-29T21:56:28.630,311,28,1
12605,2011-07-03T23:09:20.617,339,252,1
12631,2011-07-04T06:02:52.223,339,168,1
12707,2011-07-06T17:20:28.463,345,325,1
12733,2011-07-06T18:19:45.023,325,345,1
13309,2011-07-09T21:19:04.170,358,16,1
13635,2011-07-12T17:22:44.100,369,345,1
13836,2011-07-13T00:27:07.707,374,252,1
14487,2011-07-14T20:49:19.643,391,376,1
16188,2011-07-26T11:38:26.973,429,37,1
16364,2011-07-26T21:57:14.977,435,433,1
16565,2011-07-27T21:12:45.280,439,397,1
17241,2011-08-01T06:48:31.160,451,339,1
17417,2011-08-03T13:48:36.753,464,311,1
17668,2011-08-05T12:51:06.283,367,372,1
18344,2011-08-10T12:30:06.607,484,439,1
