Id,TagName,Count,ExcerptPostId,WikiPostId
1,bug,67,,
2,feature-request,72,,
3,discussion,730,,
4,faq,3,,
5,status-completed,55,,
6,status-declined,1,,
7,status-bydesign,15,,
8,status-norepro,5,,
9,status-reproduced,0,,
10,status-planned,1,,
11,status-deferred,2,,
12,status-review,0,,
13,support,109,,
14,reputation,6,,
15,questions,4,,
16,tags,92,2085,2084
17,comments,11,,
18,badges,6,,
19,answers,16,,
20,search,2,,
21,voting,4,,
22,editing,27,,
23,bounty,8,2692,2691
24,user-interface,1,,
25,specific-question,40,,
26,accepted-answer,3,,
27,markdown,1,,
28,stackexchange,1,,
29,community-wiki,3,2597,2596
30,down-votes,6,,
31,openid,0,,
32,migration,30,2561,2560
33,vote-to-close,12,,
34,exact-duplicates,16,,
35,etiquette,0,,
36,notifications,2,,
37,users,4,,
38,closed-questions,14,,
39,hyperlinks,5,,
40,data-dump,2,,
41,asking-questions,33,,
42,recent-activity,0,,
43,new-users,7,,
44,profile-page,4,,
45,flagging,12,,
46,chat,9,,
47,unanswered-questions,4,,
48,retagging,3,,
49,moderation,11,,
50,data-explorer,1,,
51,close-reasons,26,,
52,user-accounts,3,,
53,formatting,0,,
54,interesting-tags,1,,
55,up-votes,2,,
56,meta,2,,
57,statistics,1,,
58,login,1,,
59,rss,0,,
60,favorites,0,,
61,deleted-questions,3,,
62,tagging,8,,
63,votes,3,,
64,tag-synonyms,27,,
65,featured,0,,
66,acceptable-question,53,2940,2939
70,acceptable-answer,15,,
71,conference,9,,
72,wiki,3,,
81,ssl,7,,
82,blog,24,,
83,design,32,,
84,qotw,5,1345,1344
85,community-ads,7,,
86,ipad,2,,
89,twitter,6,,
94,scope,31,,
99,election,14,,
100,moderators,3,,
105,site-promotion,10,,
106,swag,3,,
110,question-quality,11,,
111,answer-quality,12,,
112,competition,3,,
115,site-faq,7,,
118,black-hat,10,,
121,tag-pruning,2,,
122,winterbash,3,,
123,cryptography,4,,
125,pii,1,1145,1144
127,ctf,34,1150,1149
129,tag-wiki,4,1217,1216
131,site-name,2,,
134,privacy,6,,
136,hats,3,,
139,review,14,1917,1916
142,tour,3,,
147,captcha,4,,
151,suggested-edits,7,,
152,bears,2,,
153,security,3,,
155,answering,2,,
159,canonical,3,,
161,off-topic,11,,
162,burninate-request,5,,
169,spam,3,,
170,affiliation,1,,
171,write-up,4,,
172,deleted-answers,1,,
173,images,1,,
