Id,PostId,VoteTypeId,CreationDate,UserId
1,1,2,2010-11-11T00:00:00.000,
2,2,2,2010-11-11T00:00:00.000,
3,3,2,2010-11-11T00:00:00.000,
4,5,2,2010-11-11T00:00:00.000,
5,5,2,2010-11-11T00:00:00.000,
6,7,2,2010-11-11T00:00:00.000,
7,5,2,2010-11-12T00:00:00.000,
8,6,2,2010-11-12T00:00:00.000,
9,11,2,2010-11-12T00:00:00.000,
10,5,1,2010-11-12T00:00:00.000,
11,5,2,2010-11-12T00:00:00.000,
12,1,2,2010-11-12T00:00:00.000,
13,11,2,2010-11-12T00:00:00.000,
14,11,2,2010-11-12T00:00:00.000,
15,5,2,2010-11-13T00:00:00.000,
16,4,2,2010-11-13T00:00:00.000,
17,8,10,2010-11-13T00:00:00.000,
18,14,2,2010-11-13T00:00:00.000,
19,16,2,2010-11-13T00:00:00.000,
20,15,2,2010-11-14T00:00:00.000,
21,14,2,2010-11-14T00:00:00.000,
22,16,2,2010-11-14T00:00:00.000,
23,18,2,2010-11-14T00:00:00.000,
24,19,2,2010-11-14T00:00:00.000,
25,15,2,2010-11-14T00:00:00.000,
26,11,2,2010-11-15T00:00:00.000,
27,18,2,2010-11-16T00:00:00.000,
28,19,3,2010-11-16T00:00:00.000,
29,21,2,2010-11-17T00:00:00.000,
30,21,2,2010-11-18T00:00:00.000,
31,20,2,2010-11-18T00:00:00.000,
32,1,2,2010-11-18T00:00:00.000,
33,20,2,2010-11-19T00:00:00.000,
35,21,2,2010-11-19T00:00:00.000,
36,15,2,2010-11-19T00:00:00.000,
37,11,2,2010-11-19T00:00:00.000,
38,5,2,2010-11-19T00:00:00.000,
39,21,2,2010-11-19T00:00:00.000,
40,23,2,2010-11-19T00:00:00.000,
41,23,2,2010-11-19T00:00:00.000,
42,15,2,2010-11-19T00:00:00.000,
43,12,2,2010-11-19T00:00:00.000,
44,24,2,2010-11-19T00:00:00.000,
45,20,2,2010-11-19T00:00:00.000,
46,5,2,2010-11-19T00:00:00.000,
47,7,2,2010-11-19T00:00:00.000,
48,23,2,2010-11-20T00:00:00.000,
49,2,2,2010-11-20T00:00:00.000,
50,6,2,2010-11-20T00:00:00.000,
51,26,2,2010-11-20T00:00:00.000,
52,25,2,2010-11-20T00:00:00.000,
53,22,2,2010-11-21T00:00:00.000,
54,21,2,2010-11-21T00:00:00.000,
55,27,2,2010-11-22T00:00:00.000,
56,15,2,2010-11-22T00:00:00.000,
57,25,2,2010-11-22T00:00:00.000,
58,28,3,2010-11-22T00:00:00.000,
59,12,2,2010-11-22T00:00:00.000,
60,24,2,2010-11-22T00:00:00.000,
61,17,2,2010-11-22T00:00:00.000,
62,27,2,2010-11-22T00:00:00.000,
63,28,3,2010-11-22T00:00:00.000,
64,11,2,2010-11-22T00:00:00.000,
65,27,2,2010-11-22T00:00:00.000,
67,32,3,2010-11-23T00:00:00.000,
68,31,2,2010-11-23T00:00:00.000,
69,32,2,2010-11-23T00:00:00.000,
70,34,2,2010-11-23T00:00:00.000,
71,22,2,2010-11-23T00:00:00.000,
72,35,2,2010-11-23T00:00:00.000,
74,36,2,2010-11-23T00:00:00.000,
75,33,2,2010-11-24T00:00:00.000,
76,33,1,2010-11-24T00:00:00.000,
77,16,3,2010-11-24T00:00:00.000,
78,32,2,2010-11-24T00:00:00.000,
79,18,3,2010-11-24T00:00:00.000,
80,14,2,2010-11-24T00:00:00.000,
81,15,2,2010-11-24T00:00:00.000,
82,22,2,2010-11-24T00:00:00.000,
83,21,2,2010-11-24T00:00:00.000,
84,23,2,2010-11-24T00:00:00.000,
85,37,2,2010-11-24T00:00:00.000,
86,38,2,2010-11-24T00:00:00.000,
87,39,2,2010-11-24T00:00:00.000,
88,37,2,2010-11-24T00:00:00.000,
89,40,3,2010-11-25T00:00:00.000,
90,1,2,2010-11-25T00:00:00.000,
91,14,2,2010-11-25T00:00:00.000,
92,22,2,2010-11-25T00:00:00.000,
93,7,2,2010-11-25T00:00:00.000,
94,44,2,2010-11-28T00:00:00.000,
95,29,2,2010-11-28T00:00:00.000,
96,45,1,2010-11-29T00:00:00.000,
97,45,2,2010-11-29T00:00:00.000,
98,20,2,2010-11-29T00:00:00.000,
99,1,2,2010-11-29T00:00:00.000,
100,1,5,2010-11-29T00:00:00.000,294
101,14,2,2010-11-29T00:00:00.000,
102,14,5,2010-11-29T00:00:00.000,294
103,15,2,2010-11-29T00:00:00.000,
104,22,2,2010-11-29T00:00:00.000,
105,12,2,2010-11-29T00:00:00.000,
